,Num,Num_Back,Num_SQ,NUM_BACK_SQ
416,1010003,3000101,1020106060009,9000606010201
417,1010011,1100101,1020122220121,1210222210201
418,1010012,2100101,1020124240144,4410424210201
419,1010013,3100101,1020126260169,9610626210201
420,1010021,1200101,1020142420441,1440242410201
421,1010022,2200101,1020144440484,4840444410201
422,1010031,1300101,1020162620961,1690262610201
423,1010101,1010101,1020304030201,1020304030201
424,1010102,2010101,1020306050404,4040506030201
425,1010103,3010101,1020308070609,9060708030201
426,1010111,1110101,1020324232321,1232324230201
427,1010112,2110101,1020326252544,4452526230201
428,1010113,3110101,1020328272769,9672728230201
429,1010121,1210101,1020344434641,1464344430201
430,1010122,2210101,1020346454884,4884546430201
431,1010201,1020101,1020506060401,1040606050201
432,1010202,2020101,1020508080804,4080808050201
433,1010211,1120101,1020526264521,1254626250201
434,1010212,2120101,1020528284944,4494828250201
435,1010221,1220101,1020546468841,1488646450201
436,1011001,1001101,1022123022001,1002203212201
437,1011002,2001101,1022125044004,4004405212201
438,1011003,3001101,1022127066009,9006607212201
439,1011011,1101101,1022143242121,1212423412201
440,1011012,2101101,1022145264144,4414625412201
441,1011013,3101101,1022147286169,9616827412201
442,1011021,1201101,1022163462441,1442643612201
443,1011022,2201101,1022165484484,4844845612201
444,1011031,1301101,1022183682961,1692863812201
445,1011101,1011101,1022325232201,1022325232201
446,1011102,2011101,1022327254404,4044527232201
447,1011103,3011101,1022329276609,9066729232201
448,1011111,1111101,1022345454321,1234545432201
449,1011112,2111101,1022347476544,4456747432201
450,1011113,3111101,1022349498769,9678949432201
451,1011121,1211101,1022365676641,1466765632201
452,1011122,2211101,1022367698884,4888967632201
453,1011201,1021101,1022527462401,1042647252201
454,1011202,2021101,1022529484804,4084849252201
455,1011211,1121101,1022547686521,1256867452201
456,1012001,1002101,1024146024001,1004206414201
457,1012002,2002101,1024148048004,4008408414201
458,1012011,1102101,1024166264121,1214626614201
459,1012012,2102101,1024168288144,4418828614201
460,1012101,1012101,1024348434201,1024348434201
461,1012111,1112101,1024368676321,1236768634201
462,1020001,1000201,1040402040001,1000402040401
463,1020002,2000201,1040404080004,4000804040401
464,1020011,1100201,1040422440121,1210442240401
465,1020012,2100201,1040424480144,4410844240401
466,1020021,1200201,1040442840441,1440482440401
467,1020022,2200201,1040444880484,4840884440401
468,1020101,1010201,1040606050201,1020506060401
469,1020102,2010201,1040608090404,4040908060401
470,1020111,1110201,1040626452321,1232546260401
471,1020112,2110201,1040628492544,4452948260401
472,1020121,1210201,1040646854641,1464586460401
473,1020122,2210201,1040648894884,4884988460401
474,1021001,1001201,1042443042001,1002403442401
475,1021002,2001201,1042445084004,4004805442401
476,1021011,1101201,1042463462121,1212643642401
477,1021021,1201201,1042483882441,1442883842401
478,1021101,1011201,1042647252201,1022527462401
479,1021102,2011201,1042649294404,4044929462401
480,1021111,1111201,1042667674321,1234767662401
481,1022001,1002201,1044486044001,1004406844401
482,1022002,2002201,1044488088004,4008808844401
483,1030001,1000301,1060902060001,1000602090601
484,1030011,1100301,1060922660121,1210662290601
485,1031001,1001301,1062963062001,1002603692601
486,1031011,1101301,1062983682121,1212863892601
487,1100001,1000011,1210002200001,1000022000121
488,1100002,2000011,1210004400004,4000044000121
489,1100003,3000011,1210006600009,9000066000121
490,1100011,1100011,1210024200121,1210024200121
491,1100012,2100011,1210026400144,4410046200121
492,1100013,3100011,1210028600169,9610068200121
493,1100021,1200011,1210046200441,1440026400121
494,1100022,2200011,1210048400484,4840048400121
495,1100031,1300011,1210068200961,1690028600121
496,1100101,1010011,1210222210201,1020122220121
497,1100102,2010011,1210224410404,4040144220121
498,1100103,3010011,1210226610609,9060166220121
499,1100111,1110011,1210244212321,1232124420121
500,1100112,2110011,1210246412544,4452146420121
501,1100113,3110011,1210248612769,9672168420121
502,1100121,1210011,1210266214641,1464126620121
503,1100122,2210011,1210268414884,4884148620121
504,1100201,1020011,1210442240401,1040422440121
505,1100202,2020011,1210444440804,4080444440121
506,1100211,1120011,1210464244521,1254424640121
507,1100212,2120011,1210466444944,4494446640121
508,1100221,1220011,1210486248841,1488426840121
509,1100301,1030011,1210662290601,1060922660121
510,1100311,1130011,1210684296721,1276924860121
511,1101001,1001011,1212203202001,1002023022121
512,1101002,2001011,1212205404004,4004045022121
513,1101003,3001011,1212207606009,9006067022121
514,1101011,1101011,1212225222121,1212225222121
515,1101012,2101011,1212227424144,4414247222121
516,1101013,3101011,1212229626169,9616269222121
517,1101021,1201011,1212247242441,1442427422121
518,1101022,2201011,1212249444484,4844449422121
519,1101031,1301011,1212269262961,1692629622121
520,1101101,1011011,1212423412201,1022143242121
521,1101102,2011011,1212425614404,4044165242121
522,1101103,3011011,1212427816609,9066187242121
523,1101111,1111011,1212445434321,1234345442121
524,1101112,2111011,1212447636544,4456367442121
525,1101113,3111011,1212449838769,9678389442121
526,1101121,1211011,1212467456641,1466547642121
527,1101122,2211011,1212469658884,4888569642121
528,1101201,1021011,1212643642401,1042463462121
529,1101202,2021011,1212645844804,4084485462121
530,1101211,1121011,1212665666521,1256665662121
531,1101212,2121011,1212667868944,4498687662121
532,1101301,1031011,1212863892601,1062983682121
533,1102001,1002011,1214406204001,1004026044121
534,1102002,2002011,1214408408004,4008048044121
535,1102011,1102011,1214428244121,1214428244121
536,1102101,1012011,1214626614201,1024166264121
537,1102102,2012011,1214628818404,4048188264121
538,1102111,1112011,1214648656321,1236568464121
539,1110001,1000111,1232102220001,1000222012321
540,1110002,2000111,1232104440004,4000444012321
541,1110003,3000111,1232106660009,9000666012321
542,1110011,1100111,1232124420121,1210244212321
543,1110012,2100111,1232126640144,4410466212321
544,1110013,3100111,1232128860169,9610688212321
545,1110021,1200111,1232146620441,1440266412321
546,1110022,2200111,1232148840484,4840488412321
547,1110031,1300111,1232168820961,1690288612321
548,1110101,1010111,1232324230201,1020324232321
549,1110102,2010111,1232326450404,4040546232321
550,1110103,3010111,1232328670609,9060768232321
551,1110111,1110111,1232346432321,1232346432321
552,1110112,2110111,1232348652544,4452568432321
553,1110121,1210111,1232368634641,1464368632321
554,1110201,1020111,1232546260401,1040626452321
555,1110202,2020111,1232548480804,4080848452321
556,1110211,1120111,1232568464521,1254648652321
557,1111001,1001111,1234323222001,1002223234321
558,1111002,2001111,1234325444004,4004445234321
559,1111003,3001111,1234327666009,9006667234321
560,1111011,1101111,1234345442121,1212445434321
561,1111012,2101111,1234347664144,4414667434321
562,1111013,3101111,1234349886169,9616889434321
563,1111021,1201111,1234367662441,1442667634321
564,1111022,2201111,1234369884484,4844889634321
565,1111031,1301111,1234389882961,1692889834321
566,1111101,1011111,1234545432201,1022345454321
567,1111102,2011111,1234547654404,4044567454321
568,1111103,3011111,1234549876609,9066789454321
569,1111111,1111111,1234567654321,1234567654321
570,1111112,2111111,1234569876544,4456789654321
571,1111121,1211111,1234589876641,1466789854321
572,1111201,1021111,1234767662401,1042667674321
573,1111202,2021111,1234769884804,4084889674321
574,1111211,1121111,1234789886521,1256889874321
575,1112001,1002111,1236546224001,1004226456321
576,1112002,2002111,1236548448004,4008448456321
577,1112011,1102111,1236568464121,1214648656321
578,1112101,1012111,1236768634201,1024368676321
579,1120001,1000211,1254402240001,1000422044521
580,1120002,2000211,1254404480004,4000844044521
581,1120011,1100211,1254424640121,1210464244521
582,1120012,2100211,1254426880144,4410886244521
583,1120101,1010211,1254626250201,1020526264521
584,1120102,2010211,1254628490404,4040948264521
585,1120111,1110211,1254648652321,1232568464521
586,1121001,1001211,1256643242001,1002423466521
587,1121002,2001211,1256645484004,4004845466521
588,1121011,1101211,1256665662121,1212665666521
589,1121101,1011211,1256867452201,1022547686521
590,1121102,2011211,1256869694404,4044969686521
591,1121111,1111211,1256889874321,1234789886521
592,1122001,1002211,1258886244001,1004426888521
593,1122002,2002211,1258888488004,4008848888521
594,1130001,1000311,1276902260001,1000622096721
595,1130011,1100311,1276924860121,1210684296721
596,1200001,1000021,1440002400001,1000042000441
597,1200002,2000021,1440004800004,4000084000441
598,1200011,1100021,1440026400121,1210046200441
599,1200012,2100021,1440028800144,4410088200441
600,1200101,1010021,1440242410201,1020142420441
601,1200102,2010021,1440244810404,4040184420441
602,1200111,1110021,1440266412321,1232146620441
603,1200112,2110021,1440268812544,4452188620441
604,1200201,1020021,1440482440401,1040442840441
605,1200202,2020021,1440484840804,4080484840441
606,1201001,1001021,1442403402001,1002043042441
607,1201002,2001021,1442405804004,4004085042441
608,1201011,1101021,1442427422121,1212247242441
609,1201012,2101021,1442429824144,4414289242441
610,1201101,1011021,1442643612201,1022163462441
611,1201111,1111021,1442667634321,1234367662441
612,1201201,1021021,1442883842401,1042483882441
613,1202001,1002021,1444806404001,1004046084441
614,1202002,2002021,1444808808004,4008088084441
615,1210001,1000121,1464102420001,1000242014641
616,1210002,2000121,1464104840004,4000484014641
617,1210011,1100121,1464126620121,1210266214641
618,1210101,1010121,1464344430201,1020344434641
619,1210102,2010121,1464346850404,4040586434641
620,1210111,1110121,1464368632321,1232368634641
621,1210201,1020121,1464586460401,1040646854641
622,1210202,2020121,1464588880804,4080888854641
623,1211001,1001121,1466523422001,1002243256641
624,1211002,2001121,1466525844004,4004485256641
625,1211011,1101121,1466547642121,1212467456641
626,1211101,1011121,1466765632201,1022365676641
627,1211111,1111121,1466789854321,1234589876641
628,1212001,1002121,1468946424001,1004246498641
629,1212002,2002121,1468948848004,4008488498641
630,1220001,1000221,1488402440001,1000442048841
631,1220002,2000221,1488404880004,4000884048841
632,1220011,1100221,1488426840121,1210486248841
633,1220101,1010221,1488646450201,1020546468841
634,1220102,2010221,1488648890404,4040988468841
635,1300001,1000031,1690002600001,1000062000961
636,1300011,1100031,1690028600121,1210068200961
637,1300101,1010031,1690262610201,1020162620961
638,1300111,1110031,1690288612321,1232168820961
639,1301001,1001031,1692603602001,1002063062961
640,1301011,1101031,1692629622121,1212269262961
641,1301101,1011031,1692863812201,1022183682961
642,1301111,1111031,1692889834321,1234389882961
643,2000001,1000002,4000004000001,1000004000004
644,2000002,2000002,4000008000004,4000008000004
645,2000011,1100002,4000044000121,1210004400004
646,2000012,2100002,4000048000144,4410008400004
647,2000021,1200002,4000084000441,1440004800004
648,2000022,2200002,4000088000484,4840008800004
649,2000101,1010002,4000404010201,1020104040004
650,2000102,2010002,4000408010404,4040108040004
651,2000111,1110002,4000444012321,1232104440004
652,2000112,2110002,4000448012544,4452108440004
653,2000121,1210002,4000484014641,1464104840004
654,2000122,2210002,4000488014884,4884108840004
655,2000201,1020002,4000804040401,1040404080004
656,2000202,2020002,4000808040804,4080408080004
657,2000211,1120002,4000844044521,1254404480004
658,2000212,2120002,4000848044944,4494408480004
659,2000221,1220002,4000884048841,1488404880004
660,2001001,1001002,4004005002001,1002005004004
661,2001002,2001002,4004009004004,4004009004004
662,2001011,1101002,4004045022121,1212205404004
663,2001012,2101002,4004049024144,4414209404004
664,2001021,1201002,4004085042441,1442405804004
665,2001022,2201002,4004089044484,4844409804004
666,2001101,1011002,4004405212201,1022125044004
667,2001102,2011002,4004409214404,4044129044004
668,2001111,1111002,4004445234321,1234325444004
669,2001112,2111002,4004449236544,4456329444004
670,2001121,1211002,4004485256641,1466525844004
671,2001122,2211002,4004489258884,4888529844004
672,2001201,1021002,4004805442401,1042445084004
673,2001202,2021002,4004809444804,4084449084004
674,2001211,1121002,4004845466521,1256645484004
675,2001212,2121002,4004849468944,4498649484004
676,2002001,1002002,4008008004001,1004008008004
677,2002011,1102002,4008048044121,1214408408004
678,2002021,1202002,4008088084441,1444808808004
679,2002101,1012002,4008408414201,1024148048004
680,2002111,1112002,4008448456321,1236548448004
681,2002121,1212002,4008488498641,1468948848004
682,2002201,1022002,4008808844401,1044488088004
683,2002211,1122002,4008848888521,1258888488004
684,2010001,1000102,4040104020001,1000204010404
685,2010002,2000102,4040108040004,4000408010404
686,2010011,1100102,4040144220121,1210224410404
687,2010012,2100102,4040148240144,4410428410404
688,2010021,1200102,4040184420441,1440244810404
689,2010022,2200102,4040188440484,4840448810404
690,2010101,1010102,4040506030201,1020306050404
691,2010111,1110102,4040546232321,1232326450404
692,2010121,1210102,4040586434641,1464346850404
693,2010201,1020102,4040908060401,1040608090404
694,2010211,1120102,4040948264521,1254628490404
695,2010221,1220102,4040988468841,1488648890404
696,2011001,1001102,4044125022001,1002205214404
697,2011002,2001102,4044129044004,4004409214404
698,2011011,1101102,4044165242121,1212425614404
699,2011012,2101102,4044169264144,4414629614404
700,2011101,1011102,4044527232201,1022327254404
701,2011111,1111102,4044567454321,1234547654404
702,2011201,1021102,4044929462401,1042649294404
703,2011211,1121102,4044969686521,1256869694404
704,2012001,1002102,4048148024001,1004208418404
705,2012011,1102102,4048188264121,1214628818404
706,2020001,1000202,4080404040001,1000404040804
707,2020002,2000202,4080408080004,4000808040804
708,2020011,1100202,4080444440121,1210444440804
709,2020012,2100202,4080448480144,4410848440804
710,2020021,1200202,4080484840441,1440484840804
711,2020022,2200202,4080488880484,4840888840804
712,2020101,1010202,4080808050201,1020508080804
713,2020111,1110202,4080848452321,1232548480804
714,2020121,1210202,4080888854641,1464588880804
715,2021001,1001202,4084445042001,1002405444804
716,2021002,2001202,4084449084004,4004809444804
717,2021011,1101202,4084485462121,1212645844804
718,2021101,1011202,4084849252201,1022529484804
719,2021111,1111202,4084889674321,1234769884804
720,2022001,1002202,4088488044001,1004408848804
721,2100001,1000012,4410004200001,1000024000144
722,2100002,2000012,4410008400004,4000048000144
723,2100011,1100012,4410046200121,1210026400144
724,2100021,1200012,4410088200441,1440028800144
725,2100101,1010012,4410424210201,1020124240144
726,2100102,2010012,4410428410404,4040148240144
727,2100111,1110012,4410466212321,1232126640144
728,2100201,1020012,4410844240401,1040424480144
729,2100202,2020012,4410848440804,4080448480144
730,2100211,1120012,4410886244521,1254426880144
731,2101001,1001012,4414205202001,1002025024144
732,2101002,2001012,4414209404004,4004049024144
733,2101011,1101012,4414247222121,1212227424144
734,2101021,1201012,4414289242441,1442429824144
735,2101101,1011012,4414625412201,1022145264144
736,2101102,2011012,4414629614404,4044169264144
737,2101111,1111012,4414667434321,1234347664144
738,2102001,1002012,4418408204001,1004028048144
739,2102101,1012012,4418828614201,1024168288144
740,2110001,1000112,4452104220001,1000224012544
741,2110002,2000112,4452108440004,4000448012544
742,2110011,1100112,4452146420121,1210246412544
743,2110021,1200112,4452188620441,1440268812544
744,2110101,1010112,4452526230201,1020326252544
745,2110111,1110112,4452568432321,1232348652544
746,2110201,1020112,4452948260401,1040628492544
747,2111001,1001112,4456325222001,1002225236544
748,2111002,2001112,4456329444004,4004449236544
749,2111011,1101112,4456367442121,1212447636544
750,2111101,1011112,4456747432201,1022347476544
751,2111111,1111112,4456789654321,1234569876544
752,2120001,1000212,4494404240001,1000424044944
753,2120002,2000212,4494408480004,4000848044944
754,2120011,1100212,4494446640121,1210466444944
755,2120101,1010212,4494828250201,1020528284944
756,2121001,1001212,4498645242001,1002425468944
757,2121002,2001212,4498649484004,4004849468944
758,2121011,1101212,4498687662121,1212667868944
